node_id,lat,lon,out_degree,in_degree
340,57.125,320.875,580,567
874,51.125,308.875,597,587
877,51.125,314.875,610,702
1046,49.125,292.875,572,649
1054,49.125,308.875,628,673
1055,49.125,310.875,545,557
1056,49.125,312.875,571,584
1057,49.125,314.875,803,776
1058,49.125,316.875,751,690
1059,49.125,318.875,536,481
1061,49.125,322.875,622,575
1168,47.125,176.875,577,573
1174,47.125,188.875,735,722
1175,47.125,190.875,646,666
1179,47.125,198.875,539,526
1218,47.125,276.875,561,542
1226,47.125,292.875,808,816
1227,47.125,294.875,703,744
1228,47.125,296.875,577,560
1232,47.125,304.875,586,646
1234,47.125,308.875,831,760
1235,47.125,310.875,884,847
1236,47.125,312.875,765,799
1237,47.125,314.875,606,696
1238,47.125,316.875,711,731
1243,47.125,326.875,671,548
1342,45.125,164.875,682,679
1343,45.125,166.875,638,623
1344,45.125,168.875,812,740
1346,45.125,172.875,660,612
1349,45.125,178.875,600,688
1351,45.125,182.875,549,560
1352,45.125,184.875,573,447
1354,45.125,188.875,658,635
1402,45.125,284.875,538,599
1405,45.125,290.875,754,790
1406,45.125,292.875,1064,1074
1407,45.125,294.875,855,839
1408,45.125,296.875,750,713
1410,45.125,300.875,600,600
1412,45.125,304.875,554,532
1413,45.125,306.875,808,713
1414,45.125,308.875,771,732
1415,45.125,310.875,752,782
1416,45.125,312.875,602,545
1417,45.125,314.875,1010,987
1517,43.125,154.875,749,837
1519,43.125,158.875,698,611
1520,43.125,160.875,623,569
1521,43.125,162.875,808,809
1522,43.125,164.875,585,577
1523,43.125,166.875,539,622
1524,43.125,168.875,599,631
1525,43.125,170.875,587,567
1526,43.125,172.875,629,617
1527,43.125,174.875,754,745
1528,43.125,176.875,543,544
1529,43.125,178.875,711,694
1530,43.125,180.875,580,588
1531,43.125,182.875,981,923
1532,43.125,184.875,684,632
1533,43.125,186.875,585,514
1534,43.125,188.875,637,672
1583,43.125,286.875,530,557
1584,43.125,288.875,584,661
1585,43.125,290.875,637,708
1586,43.125,292.875,963,989
1587,43.125,294.875,678,757
1590,43.125,300.875,602,605
1591,43.125,302.875,665,699
1592,43.125,304.875,805,816
1594,43.125,308.875,823,723
1595,43.125,310.875,598,546
1597,43.125,314.875,566,535
1693,41.125,146.875,649,713
1695,41.125,150.875,540,566
1696,41.125,152.875,774,845
1697,41.125,154.875,784,789
1698,41.125,156.875,840,881
1699,41.125,158.875,943,918
1700,41.125,160.875,589,598
