node_id,lat,lon,out_degree,in_degree
518,55.125,316.875,275,223
519,55.125,318.875,323,277
636,53.125,192.875,278,343
637,53.125,194.875,343,402
640,53.125,200.875,281,243
686,53.125,292.875,349,301
687,53.125,294.875,275,252
699,53.125,318.875,279,205
705,53.125,330.875,325,335
817,51.125,194.875,368,387
825,51.125,210.875,325,318
826,51.125,212.875,269,266
864,51.125,288.875,360,349
865,51.125,290.875,416,443
868,51.125,296.875,352,319
877,51.125,314.875,479,403
878,51.125,316.875,300,231
879,51.125,318.875,334,254
887,51.125,334.875,332,311
888,51.125,336.875,351,407
1042,49.125,284.875,335,320
1054,49.125,308.875,275,241
1055,49.125,310.875,368,325
1058,49.125,316.875,325,341
1185,47.125,210.875,286,258
1221,47.125,282.875,271,234
1222,47.125,284.875,375,335
1230,47.125,300.875,280,261
1235,47.125,310.875,282,207
1240,47.125,320.875,283,255
1395,45.125,270.875,302,263
1400,45.125,280.875,269,250
1411,45.125,302.875,391,297
1415,45.125,310.875,339,311
1589,43.125,298.875,343,320
1591,43.125,302.875,452,395
1760,41.125,280.875,302,297
1770,41.125,300.875,324,289
4494,11.125,348.875,330,374
4499,11.125,358.875,324,327
8017,-28.875,194.875,291,273
8018,-28.875,196.875,317,326
8152,-30.875,104.875,421,413
8192,-30.875,184.875,318,316
8195,-30.875,190.875,368,442
8197,-30.875,194.875,275,229
8199,-30.875,198.875,303,317
8200,-30.875,200.875,338,332
8201,-30.875,202.875,294,326
8202,-30.875,204.875,297,285
8204,-30.875,208.875,326,348
8205,-30.875,210.875,290,321
8206,-30.875,212.875,317,348
8207,-30.875,214.875,288,293
8212,-30.875,224.875,370,423
8322,-32.875,84.875,356,349
8371,-32.875,182.875,321,298
8372,-32.875,184.875,398,396
8375,-32.875,190.875,292,340
8376,-32.875,192.875,270,272
8378,-32.875,196.875,332,301
8383,-32.875,206.875,389,367
8384,-32.875,208.875,458,404
8385,-32.875,210.875,347,331
8387,-32.875,214.875,301,302
8388,-32.875,216.875,426,461
8389,-32.875,218.875,367,371
8395,-32.875,230.875,418,374
8439,-32.875,318.875,297,268
8499,-34.875,78.875,300,331
8501,-34.875,82.875,285,346
8511,-34.875,102.875,393,363
8514,-34.875,108.875,307,316
8557,-34.875,194.875,334,334
8558,-34.875,196.875,358,336
8559,-34.875,198.875,476,460
8560,-34.875,200.875,325,283
8564,-34.875,208.875,401,342
8565,-34.875,210.875,278,250
8566,-34.875,212.875,356,321
8567,-34.875,214.875,396,386
8568,-34.875,216.875,388,443
8569,-34.875,218.875,369,427
8576,-34.875,232.875,335,291
8619,-34.875,318.875,420,363
8620,-34.875,320.875,322,282
8621,-34.875,322.875,303,261
8622,-34.875,324.875,305,185
8626,-34.875,332.875,498,457
8660,-36.875,40.875,307,306
8663,-36.875,46.875,283,294
8671,-36.875,62.875,530,483
8678,-36.875,76.875,456,380
8679,-36.875,78.875,420,452
8680,-36.875,80.875,324,330
8681,-36.875,82.875,279,274
8691,-36.875,102.875,298,317
8722,-36.875,164.875,309,273
8724,-36.875,168.875,371,410
8731,-36.875,182.875,394,370
8734,-36.875,188.875,357,386
8736,-36.875,192.875,294,264
8737,-36.875,194.875,360,367
8738,-36.875,196.875,288,279
8739,-36.875,198.875,495,455
8740,-36.875,200.875,389,401
8741,-36.875,202.875,279,241
8742,-36.875,204.875,307,296
8743,-36.875,206.875,295,268
8744,-36.875,208.875,295,294
8746,-36.875,212.875,295,292
8748,-36.875,216.875,340,311
8750,-36.875,220.875,349,489
8751,-36.875,222.875,371,454
8752,-36.875,224.875,482,478
8757,-36.875,234.875,455,360
8758,-36.875,236.875,567,507
8763,-36.875,246.875,379,299
8765,-36.875,250.875,274,235
8799,-36.875,318.875,479,450
8800,-36.875,320.875,301,267
8801,-36.875,322.875,424,341
8806,-36.875,332.875,345,370
8807,-36.875,334.875,293,245
8809,-36.875,338.875,570,527
8811,-36.875,342.875,389,345
8812,-36.875,344.875,297,265
8821,-38.875,2.875,327,256
8838,-38.875,36.875,272,199
8840,-38.875,40.875,341,273
8841,-38.875,42.875,294,287
8842,-38.875,44.875,475,477
8843,-38.875,46.875,467,440
8846,-38.875,52.875,275,316
8851,-38.875,62.875,302,382
8852,-38.875,64.875,372,473
8853,-38.875,66.875,369,349
8856,-38.875,72.875,277,265
8860,-38.875,80.875,274,308
8861,-38.875,82.875,377,391
8862,-38.875,84.875,280,296
8869,-38.875,98.875,323,271
8871,-38.875,102.875,367,441
8872,-38.875,104.875,333,346
8873,-38.875,106.875,316,277
8917,-38.875,194.875,282,268
8919,-38.875,198.875,286,286
8920,-38.875,200.875,477,431
8921,-38.875,202.875,432,417
8924,-38.875,208.875,341,341
8928,-38.875,216.875,416,386
8929,-38.875,218.875,533,540
8932,-38.875,224.875,351,375
8933,-38.875,226.875,292,265
8937,-38.875,234.875,412,354
8939,-38.875,238.875,286,302
8941,-38.875,242.875,300,270
8980,-38.875,320.875,340,317
8981,-38.875,322.875,335,312
8982,-38.875,324.875,461,387
8985,-38.875,330.875,305,255
8988,-38.875,336.875,295,214
8989,-38.875,338.875,360,273
8991,-38.875,342.875,303,243
8992,-38.875,344.875,335,297
9000,-40.875,0.875,306,300
9002,-40.875,4.875,361,271
